Epoch,Time,Inactive,Compute,MPI
0,      0.0000,0,43521843000000,356228957000000
1,      1.0000,0,42996691000000,357003309000000
2,      2.0000,0,43158438000000,356841562000000
3,      3.0000,0,44920365000000,355079635000000
4,      4.0000,0,44782546000000,355217454000000
5,      5.0000,0,42148241000000,357851759000000
6,      6.0000,0,46671048000000,353328952000000
7,      7.0000,0,42288245000000,357711755000000
8,      8.0000,0,45880562000000,354119438000000
9,      9.0000,0,44348766000000,355651234000000
10,     10.0000,0,42899402000000,357100598000000
11,     11.0000,60760000000,24820193000000,192986647000000
